date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:49	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Mar%202017%2003:11:53%20GMT	http://icsse2017.hcmute.edu.vn/robots.txt		(from )
10:11:51	31807/31807	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202017%2003:11:54%20GMT	http://icsse2017.hcmute.edu.vn/	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/index.html	(from )
10:12:12	94840/94840	---M-Z	200	added ('OK')	application/x-javascript	etag:%22801b9f2c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/PanelBar/js/jquery-1.7.2.min.js	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/PanelBar/js/jquery-1.7.2.min.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:13	897/897	---M-Z	200	added ('OK')	application/x-javascript	etag:%2243cfa12d6768d11:0%22	http://icsse2017.hcmute.edu.vn/Scripts/Common.js	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Scripts/Common.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:13	5161/5161	---M-Z	200	added ('OK')	application/x-javascript	etag:%220b2372d6768d11:0%22	http://icsse2017.hcmute.edu.vn/Scripts/PagingContent.js	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Scripts/PagingContent.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:34	3874/3874	---M-Z	200	added ('OK')	text/css	etag:%2280ee6d2b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/css/lightbox.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:35	7800/7800	---M-Z	200	added ('OK')	application/x-javascript	etag:%2280ee6d2b6768d11:0%22	http://icsse2017.hcmute.edu.vn/Components//lightbox/js/lightbox.min.js	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Components/lightbox/js/lightbox.min.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:35	713/713	---M-Z	200	added ('OK')	text/css	etag:%22bb1aa82b6768d11:0%22	http://icsse2017.hcmute.edu.vn/CSS/search_Article.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/CSS/search_Article.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:35	15813/15813	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2009:18:28%20GMT	http://icsse2017.hcmute.edu.vn/WebResource.axd?d=QGz0EVx6KnXd0XFNz6_h8xNXGaTBbw0tdFlEudQ7cm-OthWnn6Dm_5tU0MRnaGIhZBbRg9S7WqTpHMZa1xNtEI0ab6Kl1IPnRi5TjbKoJFbytbX9TFl44EGYy--GyfelKV3DXQ2&t=636040235083572431	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/WebResource35b9.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:35	7439/7439	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2009:18:28%20GMT	http://icsse2017.hcmute.edu.vn/WebResource.axd?d=x4growm4tE1xfqgq7CUmVsUnI-CbXa2N-c2_fNRwnEpvDP0BV-wXVIwtg-UArpbb2CDL-uqyWHg0pIMI2IqW_DG9HsBwwwsOkPeV5QgKyY9Yh5O4O982ECGyV1iNUPf_9TfsdN6N5kUDZgz-JeRM7Yx1qwU1&t=636040235083572431	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/WebResourceb3b4.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:36	15861/15861	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jul%202016%2009:18:28%20GMT	http://icsse2017.hcmute.edu.vn/WebResource.axd?d=ytD-yNU6w7OB5aQbpzdcKJJ4smWyZMrK26w2o8npDQvDJ2icAgnw46NhWNMATnygLURPdF6r1twj4HqvCpovy2cbE23Jpa5bO0SD9RAs5_bYKKb1dSU8kaK__zLNU1OzkJIV0Q2&t=636040235083572431	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/WebResourcee0ee.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:36	22346/22346	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2011%20Apr%202014%2017:48:40%20GMT	http://icsse2017.hcmute.edu.vn/WebResource.axd?d=m-BGqXLvdmxbkGKJ0cdC31IEEQSwl8M48qzhTdLsvA4cQATMbLAUn5HThStArYaMS9SVdQ3Idd2S2XYrPm7fUFdO8YM1&t=635328605200000000	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/WebResource9300.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:37	544775/544775	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Mar%202011%2000:00:00%20GMT	http://icsse2017.hcmute.edu.vn/Telerik.Web.UI.WebResource.axd?_TSM_HiddenField_=RadScriptManager1_TSM&compress=1&_TSM_CombinedScripts_=%3b%3bSystem.Web.Extensions%2c+Version%3d4.0.0.0%2c+Culture%3dneutral%2c+PublicKeyToken%3d31bf3856ad364e35%3aen-US%3a509f92a1-e5fd-464f-a450-13846a6c973b%3aea597d4b%3ab25378d2%3bTelerik.Web.UI%2c+Version%3d2011.1.315.35%2c+Culture%3dneutral%2c+PublicKeyToken%3d121fae78165ba3d4%3aen-US%3ae4ca4719-c559-4761-8501-9be20bbda1fe%3a16e4e7cd%3a874f8ea2%3af7645509%3a24ee1bba%3af46195d3%3a19620875%3a490a9d4e%3abd8f85e4%3ae330518b%3a1e771326%3ac8618e41	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Telerik.Web.UI.WebResourcec672.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:39	4885/4885	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:12:39%20GMT	http://icsse2017.hcmute.edu.vn/Services/PortletProxy.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/PortletProxy.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	13821/13821	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:13:02%20GMT	http://icsse2017.hcmute.edu.vn/Services/CMS.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/CMS.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	5626/5626	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2021%20Mar%202017%2003:13:02%20GMT	http://icsse2017.hcmute.edu.vn/Services/WeatherService.asmx/jsdebug	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Services/WeatherService.asmx/jsdebug.js	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	9673/9673	---M-Z	200	added ('OK')	text/css	etag:%228027d3cd57e8cf1:0%22	http://icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/main.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Resources/ImagesPortal/PhongBan/main.css	(from http://icsse2017.hcmute.edu.vn/)
10:12:59	6501/6501	---M-Z	200	added ('OK')	text/css	etag:%2280ee6d2b6768d11:0%22	http://icsse2017.hcmute.edu.vn/CSS/mainPortlets.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/CSS/mainPortlets.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:01	2074/2074	---M-Z	200	added ('OK')	text/css	etag:%2298dd62c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/nivo-slider.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/nivo-slider.css	(from http://icsse2017.hcmute.edu.vn/)
10:13:01	2180/2180	---M-Z	200	added ('OK')	text/css	etag:%2298dd62c6768d11:0%22	http://icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/themes/default/default.css	E:/PhanMemUngDung/MyWeb/WebApp/icsse2017.hcmute.edu.vn/Portlets/NivoSlider/CSS/themes/default/default.css	(from http://icsse2017.hcmute.edu.vn/)
